content	score	business	avgstars
Really enjoyed everything we ordered: brisket, ribs, pulled pork, coleslaw, mac and cheese. Can't wait to return to try the combo items. This is delicious and simple food that you want to savor and embrace. The BBQ sauces are a nice and diverse complement and are not goopy or too sweet. Highly satisfying.	4	Jessie Rae's BBQ	4.5
"I'm a big fan of the Lawry's tradition. The prime rib is great and service is usually consistent as well. This is your classic steakhouse with all the reliable rituals: juicy slabs of beef, au jus, yorkshire pudding, creamed spinach, mashed potatoes, baked potato, etc. You can't go wrong with much of anything on the menu. All satisfying and delicious. Their creamed spinach is especially addicting. Dining at Lawry's is a complete experience. The decor and uniforms, the rolling cart of beef, your carver's medallion, the presentation of the spinning salad are all assembled and choreographed for a reason. They've been doing this for 75 years and are preserving history and tradition.

Disappointments: I want to give 5 stars, but the last few times we visited, I have seen more patrons dressed in sweats, dumpy t-shirts and raggedy jeans. I felt like I was eating at a food court or cafeteria. Eating here is not cheap and there's that whole classic\/custom\/tradition thing. You don't have to be in formal wear, but at least try something that is laundered. And sometimes the staff at the hostess stand seem more flighty and disorganized than necessary.

Otherwise, mmm, beeef."	4	Lawry's The Prime Rib	4
I am glad to add Del Mar Cafe as a reliable spot for breakfast. Their portions are generous and they make the effort to assemble tasty and satisfying dishes. Decadent highlights: biscuit and graaaavvvy, Man-o-War omelet, corned beef hash. Their food is consistent and thoughtfully prepared. The staff in friendly and attentive. Dining at Del Mar is a pleasant and easy experience.	4	Del Mar Cafe	4
"Finally! A shop that makes hearty and satisfying food. The sandwiches are piled high with your favorite, fresh ingredients. Portions are generous; flavors are bold. This is no cookie-cutter, fast-food sandwich chain. Treat yourself to some real food. You'll be so happy afterward.

Standouts: the Cuban, the Ruben, Eggplant Parm and the American. Fries and chips."	5	Great American Food	4
"Amazing! This is what a happy and delicious dining experience should be. 

The restaurant is casual and comfortable. The staff is genuinely friendly, enthusiastic and consistently attentive. The pasta is sooo fresh: melty, chewy and pillow-y at once. Ordered the orecchiette with sausage, mushrooms and broccolini. It was bursting with such intense and savory flavors and texture that I rolled my eyes back in delight. I was even compelled to have a glass a wine when I finished the leftovers for lunch the next day, just to keep the memory alive...

Also ordered the chicken parm, which was huge, homey and satisfying. We watched a variety of dishes go by to other smiling patrons and heard them discussing how tasty their food was. They make their own sausage, so don't deny yourself the opportunity! Dessert, espresso and cappuccino was on par with everything else. We had lots of leftovers and had to go the whole distance. 

Yes, there is an abundance of Italian restaurants in town, but Parma hits all the targets with superb service, food and atmosphere. This tops the recommendation list for anyone."	5	Parma By Chef Marc	4
"Eh. I really wanted to love this place and make it a local favorite, but Twin Creeks did not perform to expectations.

We were drawn in for the Sunday night prime rib and were looking forward to a pleasant and satisfying experience. The meal was adequate, yet nothing to rave about. The prime rib portion was generous. The taste was adequate, but mind not blown. We came early for a cocktail at the bar and were sadly disappointed by the poor quality of alcohol in their specialty drinks. We missed Happy Hour by a few minutes and the drinks looked and tasted watered down, poorly constructed and not made with the premium liquors as stated in the menu. Paid $11 each for a drink for that compared to a complimentary casino floor cocktail.

I really wanted to love this place. Our waiter also maintained a level a banality, which seemed to permeate into an uneventful evening. I did observe other tables receiving more enthusiasm from waitstaff, but it still felt like a team of misfits. My curiosity has been satisfied and it's unlikely that I need to return. I'm ready to head back to Lawry's for the real Prime experience."	2	Twin Creeks	4
Nothing special here. You might as well go to Panda Express or pick another type of food to eat.	2	Rice n Noodle	4
"So happy to have Chef Marc in the neighborhood!

The quality ingredients for your custom pies are fresh and abundant and allow for many, many delicious combinations. The dough is a tad chewy, but still handles well. Who doesn't love a fresh thin-crust pizza made to your liking and delivered to your table in minutes? The beet salad was also healthy and hearty. The decor has an industrial feel that is comfortable and casual. 

The ordering and checkout process was rather clumsy. There was confusion among the staff about who was ordering what, what to make and where you were going to sit before you paid or even turned around to look at the seating. This caused a bit of a back up as more diners arrived. This wasn't just my order, but the with the group in front of me too. The cashier asked if I wanted any gelato, but the desserts were on the other side of the room. It's hard to decide without seeing anything and not holding up the line. Maybe next time. Hopefully, these logistics will iron themselves out soon, but otherwise a wonderful food experience."	3	Novecento Pizzeria	4
"A reliable and decent Mexican restaurant with all the familiar and classic dishes. The service and attentiveness is good. Our waiter seemed to disappear a bit, but the busboy and a manager were always floating around to keep it everything moving.

Dined there for lunch and the prices did seem a tad high for the portion, but still a very positive experience overall. Good chips and salsa, carne asada and carnitas. They keep it all simple and the flavors and quality stand out."	4	Viva Mercado's	4
"Came here to see what all the fuss was about and it's true! Delicious soup and dumplings that help comfort a cold winter day. 

The hot and sour soup has bold and balanced flavors and is one of the most consistent in town. It's also fun to get that little burst of broth in your dumplings. The beef roll is a nice variation to a plain, doughy onion pancake. 

Service was nicely attentive and looking forward to sampling more of the menu next time."	4	Three Villages Restaurant	4
Sammy's is usually a reliable standby, but AVOID THIS LOCATION! The service started out fine, but then fell off a steep cliff. The food orders were wrong for our entire table, so there was big disconnect with the kitchen. They were terribly under-staffed which contributed to the chaos.	1	Sammy's Woodfired Pizza and Grill	3.5
"WOW! What a huge disappointment. I believed all of those glowing remarks, but was confronted with a completely different experience. 

The kitchen lacks the talent and skill to create and execute traditional breakfast plates. My omlette was made like a pancake, then folded over in half and topped with sliced cheese. The eggs were cooked like a crepe and tasted thin and secondary. The ingredients did not have any interesting or fresh flavors. The meal tasted processed and assembled. BabyStacks should only focus on the pancakes because the other breakfast items are a fail. A waste of money. 

The staff is adequate and the decor is pleasant, but there isn't anything special or inspiring about this place."	2	BabyStacks Cafe	4
"The food is adequate, but not outstanding. This is a step up from Subway or Quizno's, but won't satisfy anyone who has lived in a town with a REAL classic sub shop. I ordered the Italian and the Club on a Sub. Both tasted fine, but the Club came out smashed and dilapidated.

This location also seems to have a morale problem. During my visit, I noticed the manager chastising the cashiers about who knows what. Suddenly, everyone behind the counter had a tense and sad look on their face as if this kind of treatment happens often. They are walking on eggshells back there. I think it is customary for them to yell some kind of greeting when a customer arrives, but I could barely hear\/understand the phrase because it was muffled in apathy."	2	Firehouse Subs	4
"The burgers, beer and fries are very, very good. Unfortunately, the service sucks.

It's hit or miss anytime you go. This is a very popular restaurant. They've been open long enough to get their sh*t together. They just don't seem to be able to serve customers consistently. Sometimes it is fine, other visits can be a total disaster. You can experience MIA waiters, an abandoned check-in stand and delayed or confused orders. 

The poor service really puts a damper on your dining experience and will make you forget how fun the food is. You have to be strategic about your dining times so you don't get lost in the chaos."	2	Bachi Burger	4
Went to this place for Easter Brunch and had the worst service I have ever experienced. Had to wait 30 minutes past my reservation time. Ordered dessert and never received it but it made it to my bill. Salad bar is terrible, meat mediocre. Don't waste your time and money.	1	Via Brasil Steakhouse	4
So happy to report that there is finally delicious pizza in the neighborhood! (A lot of the other stuff nearby is outright inedible.) It's classic NY-style thin crust with fresh ingredients and the flavors are nicely balanced. The crust handles nicely--not doughy or chewy; it has a nice crisp. This is pizza that I will crave and am thankful it is close by! Looking forward to sampling the many other items on their menu.	4	Rocco's NY Pizzeria	3.5
Yes! Thank you Chef John for treating us to more of your culinary genius. There is a solid range of sauce and fish combinations to satisfy everyone's palate. My go to: Twin Dragon burrito. Portions are satisfying. You will notice that the ingredients are always top notch. Staff is friendly, happy and ready to assist any newbies. A high standard is set and Soho always delivers!	5	Soho Sushi Burrito	4.5
The service is pleasant and efficient, but the food didn't match expectations. The restaurant is bright and clean, but the chairs are quite uncomfortable and rigid. It is not a relaxing environment. Breakfast was not memorable. The food was adequate and executed like someone following the steps of a recipe. This review is written like my experience: generic and uneventful.	2	Griddlecakes	4
"I really wanted to love this place. Really, really. 

Ordered the fried chicken for lunch and it did not disappoint. It had a nice spicy, crispy crust with juicy meat. There was also a spicy sauce in the condiment caddie that enhanced the flavor nicely too. Generally, all the food passing by looked good and straight-forward.

I was surprised by the price of their drinks. It really felt like you were being gauged by sheer greed. I took a pass on the $9 pint, but was even more stunned by the $4 iced tea. Plain ole Lipton Iced Tea. Those prices only motivated me to go the Yard House for beer afterward. Service was empty and awkward and made the experience rather uneventful. The energy was actually quite dull. Yes, I know it was lunch time, but the employees could try to get excited about their jobs and the dynamic environment. They didn't seem sold on the place and it transfers onto the customers."	2	Brooklyn Bowl	3.5
"Run, sprint, fly: whatever it takes to get you in this place!

Soho serves serious QUALITY food at strip-mall prices. Residents in the SW are lucky to have this restaurant in proximity. Chef\/owner John Lee and his crew execute fresh, creative and sophisticated fare. The room is casual; the service is attentive and earnest. The food will make you feel like royalty. This is not one of those drab AYCE places, so don't expect heavy sauces, gummy sushi rolls or chewy fish.

There is amazing talent in the kitchen that has access to the finest ingredients often reserved for restaurants on The Strip. A lot of care is taken in their preparation to highlight the ideal characteristic of the fish. The flavors clean, refreshing, silky, complex and complementary. That fish cradles your palate and melts in your mouth.

Order what everyone else says:
Yellowtail Yuzu Soy, Tuna Pizza, any of the Tostadas to your liking, Uni, Black Cod, Oysters, Snapper, Tuna Poke, Salmon Poke, Short Ribs. Take it all in. Ask what's good that day and just let them work their magic. You won't be disappointed (unless you're into heavy sauces, gummy rolls or chewy fish).

Once you've completed your indulging, you'll be equally delighted by your bill. C'mon, $2.00 tostadas! I don't need to go to the other sushi restaurant in the SW anymore. This is it."	5	Soho Japanese Restaurant	4.5
"Zzzzz. I had dined here and at Flamingo several times in the past, but my most recent visit was noticeably different. 

Their breakfasts are dull and bland. The menu is extensive, but their kitchen lacks the talent to create any interesting or satisfying meals. Why no hash browns at breakfast? Why the need to season and garnish everything with paprika? The house potatoes tasted processed and are diced like a chiclet. 

The service is usually pleasant and efficient, but that becomes as unmemorable when the food is flavorless. 

Save your money and keep looking."	2	Egg Works	4.5
"Sorry, but just had my last trip to this place. The sandwiches are quite good and their fries are great. Customer service is the worst. Who wants to be greeted with a sneer and scowl? It's pretty clear that the deli employee hates her job or has other uncontrollable issues. This makes the whole experience a total downer.

Pass."	1	Chip Off The Block Deli	4
"Food = 3.5 (used to be 5)
Waiting Time = -5
Service = 3
Price = 3
Lame rules = -5
Atmosphere = 1
Overall = 0

I found this place years back when I stayed at this hotel and felt sick from a cold and wanted some soup.  That how I found out about this oyster bar with its used-to-be amazing clam chowder.  After that, whenever I had the chance to visit Las Vegas, I always made an effort to stop by this place to eat their clam chowder.  I also discovered some other dishes that were also very good.  I didn't know that this place has gotten so popular and the wait time increases triple the time I used to know about it.  However, after my most recent visit here, I have to say, I have seen all I needed to see.  I won't stop here next time I come to Las Vegas because it's not worth it to me anymore.  

So the seats around the bar, that is all the seats there are...approximately 10 seats or so.  There's a line, in which you get to stand on your sorry feet for a few hours until one of those few seats become available.  There is a security guard standing somewhere nearby to make sure that you are over 21 years old in order to be waiting in line.  Anyone who does not look 21 or over get asked to leave.  I was with my husband and my two years old.  We were told that my two years old son cannot be there and that we all must leave because we have a kid.  I asked why and I was told that it's because it is a bar, so nobody under 21 is allowed in there, whether you are in there just for the food, or the alcohol, they DO NOT care.  It appears that the hotel doesn't need to make money on food.  It also appears that the hotel wants you to wait long in lines, so you would get bored from waiting and play their slot machines instead.

Then the service, you finally get seated, and given a menu, then place your order and wait some more, then eat, and then pay and leave.  You get to see the chef making your food in front of your eyes.  How cool right? NOT really.  I don't really care.  I just want my food fast!!! Anyway, chefs here have this rude obnoxious looks on their faces and it's pretty annoying seating here and waiting for the food while having to endure the unpleasant atmosphere...The waitress are all annoying as well.

Prices are in the $20s each dish which is not bad.  Quality of food has gotten worse.  I tried my clam chowder again and this time it was all watery and tasted 80% WORSE than before. I guess they don't care about making GREAT food like they used to.  Decent food seems to suffice given the mass amount of customers that come here.  They seem to not care about customers.  The hotel appears to not care about the money from the food, only the money from the slot machines..

So next time in Vegas, I will NOT stop here.  It's just NOT worth it."	1	Oyster Bar	4.5
"Obviously Starbucks management don't care about their service...all the comment and bad service from long long time ago still hasn't fix and\/or improve. 
I myself experienced ""hard to believe"" bad service 2 days ago too. 
Manager was the one to start with....if manager act like that then how could you expect staff to do any better? Horrible service and horrible attitude. Wonder how they get thru a day working in that environment. Making yourself miserable been unhappy serving customer...sad. 
Never want to go there again.

Pricing is unbelievable as well. $7.50 for grande latte with caramel..."	1	Starbucks	2.5
"Opens early. Closes late. Sandwiches are good. I've tasted the Reuben and the original. Both delicious sandwiches. Meat is well seasoned for both. Bread is crunchy as well. 
Is it mind blowing? No. 
Have I had better? Yes.  
Would I come back? Yes if the lines are not long. 

If you haven't been here before, definitely try it just to say you did."	3	Earl of Sandwich	4.5
The service is great. Very friendly. Try the Taiwanese Mei Fun, it is delicious!!! I love the thin noodles. Their egg rolls are my favorite out of all the one I have had. I am here once a week!	4	China A Go Go	3.5
"I will definitely NEVER be visiting this horrible hookah lounge again. 

Overly loud music! 

Bad hookah! 

HORRIBLE service! 

and did I mention HORRIBLE HORRIBLE HORRIBLE service! 

Do not waste your money, and most important  your time."	1	Laziza Hookah Lounge & Restaurant	3
It gets a bit loud, but its also a bar so what do you expect. I love their Dr.Pepper steak tacos! They are amazing and everyone should  try them! Also their french fries are yummy. I will definietly go back and have dinner again. My boyfriend enjoyed the restaurant as well.	5	Roadrunner Saloon	3
I would have to say this restaurant is one of my favorite to grab lunch at. The pizza is the perfect size for me at least, and I can't even finish the whole thing (only half), but it is delicious! I always get the Wild Mushroom Pizza and it is the most amazing pizza I have ever had. If you are a mushroom fan, this is one of the meals that you have to try. Our waitress and waiters are always friendly and are on top of their game ! I do not think there is one thing I can say bad about this place! I love it!	4	California Pizza Kitchen	3.5
"Best italian food I ever had! We stayed in Vegas for 4 days. Went to the Rio and Bellagio buffets and they are nothing compared to Cuginos! 

We had the:
Sicilian tripe soup- OMG!!! I'm craving as I type!

Garlic knots- yummy! My 5 yr old devoured it right away

Cheese pizza- best I've ever had!

Reuben melt- amazing! Lots of meat! 

#1 italian sandwich- yummy!

Rice balls (meat and cheese)- yummy!! And the marinara sauce- OMG! Owner said they cool the sauce for 4 hrs.

Jamaican patty- it was good but overshadowed by the rest of the meal.

Frutti di mare- a-mazing! Lots of seafood! Yummy sauce!

What the place lacks in ambiance and presentation, the make up for the taste and quality of their food. And in the end, that's all that matters!"	5	Cugino's Italian Deli & Pizza	4.5
Stopped here on Memorial Day for lunch because our first choice for Mediterranean food was closed.  We were they only customers in the restaurant the whole time we were in there.  The person at the counter seemed bothered that my wife and I were only getting 2 gyros and a side of fries to share and not interested in getting full meals or soft drinks.  He seemed unfriendly and a bit rude.  We did order 2 ice waters which never came.  I also don't like the tablet at the counter that asks how much you want to tip... is tipping necessary when you order from a counter and bus your own table?  I did leave a tip, however, because I was afraid he would only become more upset with us if I didn't!  The food was good but the sauce was a bit lacking.  There is no public restroom in the restaurant, nor in the strip mall that we could find, and not even at the gas station 4 blocks south... ???  We ended up driving to Walmart for restrooms and water!  I am usually not very picky but stopping here for lunch left me feeling disappointed and ended up interfering with our plans for the day.	1	Kabob Express	4.5
"I feel like 3 Stars is pretty generous for the review on this place. First service was horrible. I think we only saw our waitress once after we ordered eventually having to track down a manager just to get our check and then left cash so we didn't have to wait longer. 

Chicken and waffle was way overpriced for what it was. It was just fried chicken and one waffle. Nothing exciting about the flavoring or anything of the fried chicken. The syrup was a nice touch but not worth the $36 for fried chicken and a waffle. 

The menu is very small for a brunch menu. Not a lot of options. Luckily we were seated next to the kitchen and after not seeing anything my husband liked he saw a burger come out of the kitchen and asked the waitress. She was very reluctant to bring us the dinner menu and when she did told us the only thing we could order off it was the burger ( it was 1 in the afternoon not 9 in the morning) but then we continued to see sandwiches and other dinner items come out of the kitchen while waiting for our food. The poached egg dish had a very odd overpowering lemon flavor to the sauce that ruined the whole dish. The burger was super greasy. 

We ordered the peach cobbler instantly cause we had friends tell us it was fantastic (again nothing overly special) and still ended up waiting for it forever after our meal.  

Wouldn't go back and wouldn't recommend it. Maybe it's better for the cocktails!"	3	Yardbird Southern Table & Bar	4.5
Fantastic!  Hash browns were amazing breakfast quesadilla was awesome biscuits and gravy were just as fantastic.  Service was good. Very nice chatty waiter. After a horrible experience at yardbirds the day before this was a nice treat!!  May go back tomorrow!	5	Grand Lux Cafe	4
Took my dad here for his 70th birthday. What a treat!  Steak was melt in your mouth amazing. Crab legs were better than the stone claws but the sauce they served with them was fantastic. Great service great atmosphere couldn't have picked a better place to celebrate!	5	Joes Seafood Prime Steak & Stone Crab	4.5
"Yummy nachos!!!!! i ordered the volcano nachos and when it came out all i could say was wow they were huge. My boyfriend and i couldn't even eat half of it, and we love to eat. We ended up taking the rest home and i couldn't even close the box it was so full. My boyfriend ordered the mushroom burger (we didn't know the nachos would be so big) it was pretty average burger. 
The service was great. If you don't like to be bother while you eat i don't recommend this place. There's loud music, guys and girls on stilts walking around making balloon animals, women in bikinis walking around trying to get you to donate to Save The Tatas, and a girl sliding down into a big margarita. Overall i had fun food was alright at best but the nachos are amazing. Of course they had really good margaritas..."	4	Margaritaville	3.5
Off the beaten path but absolutely incredible coffee. It's a hipsters dream come true (was totally out of place but would go back everyday if I could). Would recommend to any coffee drinker out there.	5	Sunrise Coffee	4.5
"While visiting Las Vegas we wanted to desperately  escape the overpriced low-quality  food from the hotels on the strip. Thank you Yelpers for your help  finding this jewel!
We arrived 30 min before closing and we were welcomed as if they just opened their doors. 
Our server Jacob made some suggestions since this was our first time here and  we were not familiar with the menu. I had the special: short ribs, two eggs, garlic rice and for the perfect ending German cake pancakes.
Hubby ordered the pork egg Benedict.
Oh boy...what a breakfast!!
Food came out super quick. Everything was delicious, cooked to perfection, the ribs were unbelievable.  Tender, juicy...could have been a rib eye. That good!! Thanks again to Jacob for this suggestion and for keeping my cup of coffee full at all times.  He was very attentive.
The pancakes...ufff....to die for. I can't describe it...just have them."	5	BabyStacks Cafe	4
"In desperate need of an experience manager.
Friday morning. No 2% or fat free milk for drinks  (only soy, almond and whole  we are told). No biggie for me since I drink my americano milk and sugar-free but I was also getting a nutella latte. 
Cashier probably in training because he was clueless. Ordered a fruit tart (pastry shelf was almost empty, not many options) and he had to go get help to identify  it. (???)  and almost handled food without gloves! We had to stop him.
He also struggled to get our drinks in the computer and didn't know how to determined if the reward program  awarded us a free drink today. Asked us a name for the order...
4 people in the batista area. Chatting and  One drink is sitting there.  Someone else has to ask again if I ordered an americano and what size was it. ( cashier had ask me already 3 times) so, they don't have a system to follow up on orders?
So it happens that the drink sitting there was the nutella latte, but  in spite of asking for a name for the order they just don't use it. 
I love good coffee and sambalatte  has it.  I have been to the strip location many times but this  location needs attention  really bad."	1	Sambalatte Torrefazione	4
The food is absolutely amazing! Chef's are entertaining and put on a bbq. I especially liked the mac n cheese, sausage and pulled chicken. Try for your catered event!	5	Rollin Smoke Barbeque	4.5
Fresh veggies and you put it together yourself so if you don't like it, kinda your own fault ;) staff is friendly and it's a great price for all you can eat.	4	Stir Krazy Mongolian Grill	4
"One star for breakfast, based on the value. 
I ordered the breakfast panini, a cup of coffee, and a bear claw; and that came to $21. The menu promised a high class version of the classic breakfast sandwich, but the cooks did not deliver. I received two pieces of plain white bread with some grill marks on the outside. Inside there was a touch of lunchmeet ham - the kind where you can see the pressmarks through the package at the grocery - a small over-hard egg, and melted Velveeta. For an $11 sandwich, I am used to receiving the heavenly goodness of Zingerman's Deli in Ann Arbor, an equally overpriced town, and that I happily pay for. Jean Philippe left me feeling angry and abused.

The bear claw was decent, and the coffee was OK."	1	Jean Philippe Patisserie	4
Stopped by as I was walking through Caesar's for a quick snack, and sat at the bar. The server recommended the Scotch Egg and pub chips (fries). She was friendly and efficient, and correct on the recommendation. Both items, while simple, were done to perfection. The chips were about a third of a potato or more each, and you got eight, so quite a bit of potato. They were crispy on the outside and just right on the inside. The house made ketchup was good enough to eat without putting it on the chips. It was my first scotch egg, so I don't have much to compare, but I enjoyed the contrast of the spicy sausage, egg, and slightly molten yoke. yum!	4	Gordon Ramsay Pub & Grill	3.5
"I am a huge fan of the beer selection and happy hour, not so much on the food. As a beer aficianado, I was impressed by the choices of beer on the menu. Not an overwhelming list, just a good list. Happy hour makes this one of the most affordable places in Vegas to drink, too. Also, Todd gives away free beer on the 7-second challenge. He cheats a little by making you start and finish with the glass on the table, which takes a second and a half out of the time, so a 5.5-second slam if you can. Good for two free beers a night.
Also they have four cask beers on pump, but I was mislead by the menu when it appeared they had a custom bourbon cask beer, when in reality they have a custom bourbon, AND four cask beers but they are unrelated. 
The rib-eye chili was nothing to write home about."	5	Todd English P.U.B.	3.5
Service is excellent, our 4 egg omelet with spinach, parmesan and cheddar was huge and the avocados were delicious. Our one French toast superb, staff is courteous and even the Boss, helped!  The team work is awesome and atmosphere great, we will be back!	5	Mr Mamas	4.5
Fantastic sushi, the rolls were terrific and the service was excellent. We were down from Alaska for vacation and are very picky when it comes to seafood. That said I would recommend this place to anyone	5	Hanabi	4
"Hi Everyone,

With high hopes of finding a better Chinese delivery restaurant than China-A-Go-Go and China AAA, we tried China Joe's on Eastern for the first time on 3\/9\/17. We had every intention of posting a positive review for our first delivery, but never got the chance as we placed our second order on 3\/21\/17. Our first experience on 3\/9 was pretty good with the exception of the 45 minute delivery wait time. 

We ordered 2 individual dinner boxes at $8.25 each, which includes 1-choice of rice or lo mein noodles,  1-side  dish and 1-choice of entree. My husband ordered the Orange Chicken while I ordered Kung Po Shrimp, which cost $1.00 extra [for shrimp]. China Joe's did not disappoint and made a great first-impression with [their] tasty egg rolls and lo mein noodles. 

We ordered again on 3\/21\/2017 - this time around I ordered Kung Po Chicken and my husband ordered Teriyaki Chicken. We both ordered the lo mein and added 1 full order of egg rolls to include extra dipping and soy sauce, with an emphasis on ""dont forget to bring chopsticks"".

Unfortunately, our entire meal was a BIG disappointment. The egg rolls were ice cold and ""blah"" tasting - blah, blah, blah... AND the chicken on both entrees was so tough that we had to chew, chew, and keep chewing just to get thru our meals lol. We only ate enough to satisfy ""our hunger pangs"", then threw the rest away in the garbage can -  which meant, NO Chinese leftovers for breakfast or lunch the following day - a total bummer :(. Also, my driver forgot to bring our chopsticks, IS a big part of the dining experience in my opinion. 

We did not bother to call and complain. To be frank, I am growing very tired of the lack of consistency and subpar food when it comes to delivery and takeout dining. We've decided to simply move past this bad experience and continue our quest to find a suitable Chinese restaurant that delivers quality food in our area.

Since our first dining experience with China Joe's was favorable, we gave them 2 stars. As for our 2nd visit, we reluctantly give China Joe's 1 star as the Yelp site does not offer patrons the ability to rate a company at zero stars or below.   

[Post script] -  I just learned that China Joe's uses third-party delivery companies such as GrubHub to deliver its food orders. Since I live only a few blocks away, it now makes sense why both deliveries took over 45-minutes for delivery."	2	China Joe's	2.5
I love Hash House A Go Go - but prefer the non-casino variants.  The one in San Diego is amazing as is the one off Sahara in Las Vegas.  I have gone to most of them, and do like the food.  There's something about a free standing Hash House Building, however, that really themes the experience.	3	Hash House A Go Go	4
Burger Bar is always a treat.  Long Lines, and a small bar can be frustrating, but ALWAYS worth the wait.  All their ingredients are top quality, including meats.  What's surprising is how Amaze-balls their Veggie burgers are.  I'm not a Vegetarian, but this is my go-to there.	4	Burger Bar	4
This place was wonderful compared to the Ventian hotel pasta. The prices were cheap, and big portion of food. The bread was so yummy as well! I will come here again!	5	Pasta Mia West	4
Mini bf steak, fresh man, and mushroom ball were my favorite. Also good price of al la cart. Friendly staffs and nice food.	5	Jjanga Japanese Restaurant	4
We stopped for the lunch buffet to try out some Indian food. The buffet was not huge, but it was tasty and was kept fresh with food. The restaurant itself is nothing special, not a lot of ambiance, but it was clean and our server was friendly. For us it was a good introduction to Indian food with a nice sampling of dishes at a good price.	3	Urban Turban	4
White cheddar queso with bbq chicken, need I say more?!	4	Nacho Daddy Henderson	3.5
LOVE LOVE LOVE of my life!  Well, second only to my immediate family.  I couldn't just choose one!  I had a red velvet cupcake, and please keep in mind I am a cupcake snob!  I don't do "homemade".  It was out of this world with cream cheese filling, soooooo sooooo good.  I also got a cheese pastry so good, I googled to see if there was a miracle shop like this near me, sadly there is not.  Trust that this is a must stop!	5	Bouchon Bakery at the Venetian Casino	4
This was my first time at Beerhaus and Marlo made my experience the best ever. She recommended an IPA and I loved it! I will definitely be coming back!	5	Beerhaus	4
Amazing authentic Yucatan food. Not your traditional "Tex-Mex" Americanized cuisine.	5	Chicken Itza	4.5
Visited Border Grill for a breakfast event and was treated to some delicious food to start the day. From I recall I tried Peruvian Shrimp and Grits, Bread Pudding French Toast, and my favorite was the Bacon Jalapeño PBJ, Nice location inside Mandalay Bay and look forward to coming back again for their Sunday Brunch.	4	Border Grill	4
"A friend told me about Sin City Sushi after they opened this location. This past Friday we decided to go for All-You-Can-Eat lunch. I had been craving sushi for a while so I was ready and was not disappointed. 

Located in the shopping center (Eastern\/Serene)  the exterior is nothing fancy but upon entering the interior was simple, clean and with other Asian restaurants, specifically Japanese\/Sushi, you are greeted right away. The staff were all great and made us feel very welcome. 

We ended up going after 12PM which turned out to be great timing. It wasn't that busy so we easily got seated up at the sushi bar. The main chef was very nice and quick with preparing various rolls. 
One of my favorite rolls that I find just about everywhere is the Dragon Roll. It was as delicious as ever. Upon recommendation from the chef I had their Stacie Roll and loved it. My friend had their Moon Roll and Vampire Roll so I sampled both and added to my list for next time. After doing some of the larger rolls I need to get my nigiri fix with some Salmon, Hamachi and upon the chef's recommendation tried their Albacore which was prepared spicy. Loved it all and although I was stuff I couldn't leave without some strawberry mochi. 

This will be one I definitely visit again, hopefully sooner than later. Next time I plan on doing All-You-Can-Eat dinner with some tasty beer to wash down some rolls."	4	Sin City Sushi	4
"I'm a fan. Visited this past weekend for a late dinner. It was not busy. Immediately greeted upon walking in and got seated right away. The seating in the booths is a bit narrow. I liked the decor and ambiance inside. 

Our server visited us within a timely manner to greet us, offer chips & salsa, answer any questions and offer to take our drink order. We ordered a blood orange margarita and a cadillac margarita. Both were good. 

We ended up ordering the stuffed jalapenos as an appetizer - they were great! For our entree we ordered the braised carnitas and enchilidas poblanos, happy with both!

Ordered the Tequila Lime Cheesecake which was delicious. 

Overall we enjoyed our dinner here. The service and food were great and we plan to visit again."	4	Casa Del Matador	3.5
If you are coming out to the Speedway to visit Exotics Racing then Race Day Cafe is a great place to stop for breakfast or lunch. They have a great menu including burgers, sandwiches, salads and wraps. Friendly staff, great prices and fast service. They have a few tvs also playing various sports.	5	Mo's Race Day Cafe	4
Went here for dinner recently and was pleasantly surprised. I had heard about it but didn't know what to expect. Cool decor inside and friendly service. Amazing selection of beers. Prices are great and I totally underestimated my appetite. I ordered 4 tacos and was getting full after 2. They pile on the meat and everything was delicious. Great little patio area to sit and enjoy. Definitely will be coming back again soon!	5	Yayo Taco	3.5
Wanted to go to Burger Bar but too long of a wait so went to Hussongs for lunch and had a completely different experience than my first visit. Service was POOR. It wasn't much busier than my first visit. The server mentioned their computers were having problems. During the time we were there I saw what looked like the manager helping take orders and another gentleman who was wearing street clothes start bringing guests chips\/salsa. I was bummed. Took awhile to get our check and then wait longer for someone to run the card. After we left and were just a few feet away from the restaurant a gentleman asked us if we had just ate at Hussongs and how it was. We answered "it was OK but the service was slow". I am changing my rating from 4 stars to 2 stars. I don't think I will be back anytime soon.	2	Hussong's Cantina Las Vegas	3.5
"I visited Fogo de Chão this week for lunch and it was great. 

Salad Bar: You can easily fill up on the salad bar. Great selection and everything looked fresh.

Meats: The usual meats offered at other Brazilian steakhouses and everything I had was delicious. I often had to turn my card over so I could work on finishing what was starting to pile up. 

Service: Service was great, plenty of attention with drink refills, offering meats, etc. There was a pretty decent lunch crowd but each time I turned my card over instantly someone was by my table ready to offer more meat."	5	Fogo de Chão Brazilian Steakhouse	4.5
Happy they opened a location in Summerlin! Friendly staff and delicious food. Love the Truffle Egg Sandwich and Cinnamon Biscuits. Will definitely be having breakfast more often.	5	Eat Summerlin Proper	4
